X,Y,Z
0.702000022,-0.397800028,-0.499200016
2.074800014,-0.561600029,-0.249600008
0.351000011,-0.436800033,-0.140400007
0.351000011,-0.436800033,-0.140400007
0,-0.397800028,-0.467999995
1.372799993,-0.514800012,-0.14819999
0.990600049,-0.304200023,-0.522600055
0.897000015,-0.327600002,-0.226200014
0.951600015,-0.592799962,-0.382200003
0.826800048,-0.210600004,-0.319800019
0.624000013,-0.61620003,0.249600008
0.624000013,-0.61620003,0.249600008
1.162200093,-0.273000002,-0.592799962
1.115400076,-0.265200019,-0.179400012
1.060800076,-0.37440002,-0.046800002
0.624000013,-0.639600039,-0.296399981
0.748800039,-0.280800015,-0.358800024
0.920400023,-0.561600029,-0.514800012
1.146600008,-0.351000011,-0.023400001
0.889200032,-0.475800008,0.124800004
0.889200032,-0.475800008,0.124800004
0.444600016,-0.249600008,-0.694200039
0.756600022,-0.405600011,-0.116999999
0.959399998,-0.039000001,-0.553799987
1.123200059,-0.624000013,-0.163800001
1.481999993,-0.694200039,-0.382200003
0.834600031,-0.499200016,-0.132600009
0.358800024,-0.312000006,-0.179400012
0.358800024,-0.312000006,-0.179400012
0.990600049,-0.233999997,-0.514800012
1.115400076,-0.452400029,-0.0078
1.255800009,-0.61620003,-0.475800008
0.80340004,-0.499200016,-0.194999993
0.467999995,-0.405600011,0.015600001
1.193400025,0,-0.624000013
1.014000058,0.062400002,-0.265200019
1.521000028,-0.405600011,-0.405600011
1.521000028,-0.405600011,-0.405600011
0.811200023,-0.42899999,-0.335399985
0.421200007,-0.514800012,0.210600004
0.546000004,-0.522600055,-0.249600008
1.669200063,0.023400001,-0.280800015
0.756600022,-0.561600029,-0.132600009
1.185599923,-0.366600007,-0.210600004
0.694200039,-0.312000006,-0.054600004
0.592799962,-0.397800028,-0.351000011
0.592799962,-0.397800028,-0.351000011
1.255800009,-0.288599998,-0.273000002
0.678600013,-0.124800004,-0.226200014
1.092000008,-0.312000006,-0.343199998
1.380599976,-0.694200039,-0.070200004
1.037400007,-0.140400007,-0.366600007
0.655200005,-0.280800015,-0.070200004
0.694200039,-0.405600011,-0.436800033
0.694200039,-0.405600011,-0.436800033
0.639600039,-0.296399981,-0.124800004
0.819000006,-0.296399981,-0.0858
0.982800066,-0.304200023,-0.280800015
0.538200021,-0.124800004,0.015600001
0.959399998,-0.233999997,-0.421200007
0.725400031,-0.351000011,-0.14819999
1.076400042,-0.436800033,-0.218400016
1.240200043,-0.538200021,-0.343199998
1.240200043,-0.538200021,-0.343199998
0.436800033,-0.444600016,-0.015600001
0.756600022,-0.475800008,-0.499200016
0.772199988,-0.538200021,-0.062400002
0.499200016,-0.257400006,0.156000003
1.084200025,-0.273000002,-0.662999988
1.037400007,-0.327600002,0.0078
0.725400031,-0.37440002,-0.343199998
0.748800039,-0.358800024,-0.031200001
0.748800039,-0.358800024,-0.031200001
1.271399975,0.015600001,-0.116999999
0.959399998,-0.335399985,-0.546000004
1.076400042,-0.054600004,-0.046800002
0.639600039,-0.249600008,-0.288599998
1.123200059,-0.522600055,-0.171599999
1.754999995,-0.631799996,-0.171599999
1.076400042,-0.37440002,-0.18720001
1.076400042,-0.37440002,-0.18720001
0.312000006,-0.304200023,0.109200008
0.686399996,0.163800001,-0.647400022
1.037400007,-0.109200008,-0.460200012
1.388400078,-0.577199996,-0.124800004
1.513200045,-0.577199996,-0.48360002
0.709800005,-0.584999979,0.156000003
0.584999979,-0.194999993,-0.748800039
0.702000022,0.054600004,-0.202800006
0.702000022,0.054600004,-0.202800006
1.357200027,-0.124800004,-0.389999986
1.154399991,-0.18720001,-0.226200014
0.826800048,-0.91260004,0.046800002
0.569400012,-0.475800008,-0.475800008
0.826800048,0,-0.039000001
0.904800057,-0.273000002,-0.171599999
1.692600131,-0.296399981,-0.179400012
0.507000029,-0.514800012,-0.304200023
0.507000029,-0.514800012,-0.304200023
0.928200006,-0.553799987,-0.171599999
0.709800005,-0.436800033,0.015600001
1.146600008,0.0078,-0.436800033
1.123200059,-0.265200019,-0.046800002
1.131000042,-0.725400031,-0.132600009
1.115400076,-0.288599998,-0.389999986
0.85799998,-0.499200016,-0.218400016
0.85799998,-0.499200016,-0.218400016
1.41960001,-0.249600008,-0.351000011
1.349400043,-0.319800019,-0.18720001
1.271399975,-0.397800028,0.078000002
1.528800011,-0.296399981,-0.756600022
0.85799998,-0.460200012,-0.18720001
1.36500001,-0.179400012,-0.218400016
1.294800043,-0.296399981,-0.475800008
1.497600079,-0.327600002,-0.351000011
1.497600079,-0.327600002,-0.351000011
1.442999959,-0.452400029,-0.475800008
1.41960001,-0.179400012,-0.343199998
1.294800043,-0.249600008,-0.249600008
1.240200043,0.0858,-0.413400024
1.505400062,-0.24180001,-0.351000011
1.614600062,0,-0.787800074
1.279200077,-0.280800015,-0.140400007
0.811200023,-0.507000029,-0.171599999
0.811200023,-0.507000029,-0.171599999
1.068599939,0,-0.444600016
1.014000058,-0.499200016,-0.460200012
1.458599925,-0.389999986,-0.351000011
0.998400033,-0.584999979,-0.031200001
0.897000015,-0.18720001,-0.280800015
0.80340004,-0.592799962,-0.156000003
1.014000058,-0.249600008,-0.265200019
1.014000058,-0.249600008,-0.265200019
1.154399991,-0.460200012,-0.499200016
0.881400049,-0.351000011,0.109200008
0.967200041,-0.530400038,-0.475800008
1.240200043,-0.101400003,-0.265200019
0.779999971,-0.233999997,-0.405600011
1.216800094,-0.171599999,-0.257400006
0.819000006,-0.452400029,-0.452400029
1.435200095,-0.171599999,-0.499200016
1.435200095,-0.171599999,-0.499200016
0.717600048,-0.460200012,-0.140400007
1.154399991,0,-0.343199998
0.756600022,-0.499200016,-0.397800028
1.193400025,-0.530400038,0
0.639600039,-0.163800001,-0.358800024
1.092000008,-0.631799996,0
0.546000004,-0.37440002,-0.257400006
0.546000004,-0.37440002,-0.257400006
1.162200093,-0.397800028,-0.343199998
0.670799971,-0.273000002,-0.413400024
0.881400049,-0.530400038,-0.140400007
0.452400029,-0.37440002,0.124800004
0.998400033,-0.475800008,-0.452400029
0.85799998,-0.156000003,-0.382200003
0.943800032,-0.397800028,-0.0078
0.42899999,-0.358800024,-0.046800002
0.42899999,-0.358800024,-0.046800002
0.733200014,-0.452400029,-0.218400016
1.302600026,-0.507000029,-0.358800024
0.514800012,-0.124800004,-0.491400033
0.873600066,-0.61620003,0.109200008
0.764400005,-0.319800019,-0.218400016
0.444600016,-0.304200023,-0.233999997
1.653600097,-0.452400029,-0.389999986
0.273000002,-0.249600008,-0.202800006
0.273000002,-0.249600008,-0.202800006
0.951600015,-0.499200016,-0.171599999
1.349400043,0.039000001,-0.522600055
0.249600008,-0.538200021,-0.109200008
1.552200079,-0.366600007,-0.327600002
0.37440002,-0.14819999,-0.249600008
0.499200016,-0.343199998,-0.257400006
2.051400185,-0.48360002,-0.194999993
2.051400185,-0.48360002,-0.194999993
0.413400024,-0.358800024,-0.0078
0.475800008,-0.18720001,-0.631799996
1.427399993,-0.343199998,-0.132600009
0.943800032,-0.577199996,0
1.349400043,0.257400006,-0.639600039
0.577199996,-0.210600004,-0.124800004
0.717600048,-0.740999997,-0.18720001
1.630200028,-0.202800006,-0.42899999
1.630200028,-0.202800006,-0.42899999
0.764400005,-0.218400016,-0.194999993
0.834600031,-0.288599998,-0.031200001
0.881400049,-0.319800019,-0.218400016
0.702000022,-0.140400007,-0.37440002
0.93599999,-0.312000006,-0.257400006
1.333800077,-0.507000029,0.0078
0.522600055,-0.304200023,-0.280800015
0.514800012,-0.304200023,-0.171599999
0.514800012,-0.304200023,-0.171599999
1.310400009,-0.140400007,-0.436800033
1.092000008,-0.132600009,-0.210600004
0.920400023,-0.538200021,0
0.702000022,-0.249600008,-0.218400016
0.764400005,-0.514800012,0.015600001
0.662999988,-0.156000003,-0.491400033
1.107599974,-0.18720001,0.078000002
1.107599974,-0.18720001,0.078000002
1.107599974,-0.592799962,-0.421200007
1.380599976,-0.296399981,-0.48360002
0.514800012,-0.694200039,0.273000002
0.358800024,0,-0.61620003
0.546000004,-0.070200004,-0.0078
1.107599974,-0.608400047,-0.24180001
1.747200131,-0.335399985,-0.584999979
0.764400005,-0.748800039,0.327600002
0.764400005,-0.748800039,0.327600002
0.116999999,-0.444600016,-0.218400016
0.561600029,0.116999999,-0.319800019
0.959399998,-0.366600007,-0.18720001
1.497600079,-0.358800024,-0.265200019
1.021800041,-0.319800019,-0.249600008
0.499200016,-0.811200023,-0.14819999
0.592799962,-0.37440002,-0.319800019
1.271399975,0.093600005,-0.351000011
1.271399975,0.093600005,-0.351000011
1.435200095,-0.280800015,-0.265200019
0.865800023,-0.304200023,-0.156000003
0.639600039,-0.467999995,-0.382200003
0.522600055,-0.405600011,-0.14819999
0.733200014,-0.132600009,-0.351000011
1.123200059,-0.140400007,-0.0858
0.499200016,-0.42899999,-0.109200008
0.499200016,-0.42899999,-0.109200008
0.865800023,-0.421200007,-0.444600016
0.569400012,-0.499200016,0.156000003
0.101400003,-0.405600011,0.070200004
0.694200039,-0.467999995,-0.171599999
0.499200016,-0.889200032,0.218400016
0.577199996,-0.467999995,-0.444600016
0.37440002,-0.670799971,0
0.694200039,-0.475800008,-0.249600008
0.694200039,-0.475800008,-0.249600008
0.943800032,-0.327600002,-0.460200012
0.702000022,-0.546000004,0.304200023
0.733200014,-0.491400033,-0.561600029
1.193400025,-0.257400006,-0.156000003
0.748800039,-0.748800039,-0.210600004
0.850199997,-0.24180001,-0.366600007
0.865800023,-0.655200005,-0.116999999
1.185599923,-0.249600008,-0.312000006
1.185599923,-0.249600008,-0.312000006
0.624000013,-0.725400031,-0.171599999
1.201200128,-0.319800019,-0.37440002
0.709800005,-0.382200003,-0.421200007
0.764400005,-0.538200021,0
1.162200093,-0.37440002,-0.24180001
0.397800028,-0.819000006,-0.023400001
0.889200032,-0.210600004,-0.382200003
0.889200032,-0.210600004,-0.382200003
0.881400049,-0.507000029,0.039000001
0.319800019,-0.538200021,-0.116999999
0.80340004,-0.249600008,0.031200001
0.842400014,-0.709800005,-0.14819999
0.522600055,-0.48360002,-0.249600008
1.021800041,-0.42899999,-0.249600008
0.85799998,-0.569400012,-0.031200001
0.694200039,-0.312000006,-0.397800028
0.694200039,-0.312000006,-0.397800028
0.826800048,-0.37440002,-0.24180001
0.764400005,-0.421200007,-0.132600009
0.522600055,-0.37440002,-0.397800028
0.928200006,-0.366600007,-0.163800001
0.975000024,-0.327600002,-0.319800019
1.029600024,-0.366600007,-0.194999993
0.943800032,-0.335399985,-0.42899999
0.93599999,-0.194999993,-0.351000011
0.93599999,-0.194999993,-0.351000011
1.638000011,-0.327600002,-0.273000002
0.772199988,-0.194999993,-0.280800015
1.138800025,-0.475800008,-0.031200001
1.36500001,-0.273000002,-0.499200016
1.318200111,-0.140400007,-0.265200019
0.787800074,-0.343199998,-0.405600011
1.450800061,-0.171599999,-0.312000006
1.450800061,-0.171599999,-0.312000006
0.662999988,-0.288599998,-0.421200007
1.41960001,-0.265200019,-0.475800008
0.967200041,-0.24180001,-0.156000003
0.982800066,-0.233999997,-0.194999993
0.959399998,-0.397800028,-0.327600002
0.826800048,-0.140400007,-0.156000003
0.819000006,-0.405600011,-0.319800019
1.068599939,-0.382200003,-0.24180001
1.068599939,-0.382200003,-0.24180001
0.85799998,-0.24180001,-0.257400006
0.756600022,-0.351000011,-0.327600002
0.982800066,-0.343199998,-0.132600009
0.811200023,-0.163800001,-0.14819999
0.546000004,-0.834600031,-0.132600009
1.201200128,-0.0858,-0.319800019
0.865800023,-0.48360002,-0.171599999
0.436800033,-0.312000006,-0.054600004
0.436800033,-0.312000006,-0.054600004
0.569400012,0.054600004,-0.405600011
1.006199956,-0.389999986,-0.226200014
1.052999973,-0.499200016,-0.194999993
1.333800077,-0.662999988,-0.249600008
0.577199996,-0.865800023,0.265200019
0.647400022,-0.444600016,-0.444600016
0.702000022,-0.124800004,-0.156000003
0.702000022,-0.124800004,-0.156000003
0.834600031,0.288599998,-0.436800033
0.733200014,0.14819999,-0.475800008
0.951600015,-0.265200019,-0.397800028
1.325999975,-0.460200012,-0.226200014
0.943800032,-0.897000015,0.062400002
0.842400014,-0.444600016,0
1.115400076,-0.460200012,-0.210600004
1.131000042,-0.194999993,-0.257400006
1.131000042,-0.194999993,-0.257400006
1.279200077,-0.140400007,-0.312000006
0.865800023,-0.389999986,-0.054600004
1.060800076,-0.257400006,-0.312000006
0.819000006,-0.467999995,-0.023400001
1.653600097,-0.116999999,-0.358800024
1.333800077,-0.179400012,-0.249600008
1.349400043,-0.37440002,-0.070200004
1.248000026,-0.233999997,-0.561600029
1.248000026,-0.233999997,-0.561600029
1.66140008,0,-0.358800024
1.169999957,-0.514800012,-0.444600016
1.778400064,0.132600009,-0.491400033
1.341599941,-0.249600008,-0.14819999
1.380599976,-0.202800006,-0.335399985
1.318200111,-0.397800028,-0.366600007
0.998400033,-0.296399981,-0.101400003
0.998400033,-0.296399981,-0.101400003
0.998400033,-0.452400029,-0.280800015
0.982800066,-0.421200007,-0.171599999
0.826800048,-0.421200007,-0.226200014
0.522600055,-0.397800028,0.116999999
0.811200023,-0.686399996,0.140400007
0.608400047,-0.327600002,-0.499200016
0.748800039,-0.678600013,0.0858
0.975000024,-0.507000029,-0.491400033
0.975000024,-0.507000029,-0.491400033
0.842400014,-0.312000006,-0.132600009
0.717600048,-0.678600013,0
0.897000015,-0.351000011,-0.335399985
0.920400023,-0.530400038,-0.046800002
0.889200032,-0.452400029,-0.233999997
0.873600066,-0.624000013,-0.0078
1.162200093,-0.592799962,-0.273000002
1.216800094,-0.249600008,-0.226200014
1.216800094,-0.249600008,-0.226200014
0.61620003,-0.584999979,0.031200001
1.341599941,-0.304200023,-0.717600048
1.481999993,-0.499200016,-0.265200019
0.756600022,-0.444600016,-0.179400012
1.380599976,-0.335399985,-0.561600029
0.967200041,-0.600600064,0.070200004
0.990600049,-0.249600008,-0.61620003
0.990600049,-0.249600008,-0.61620003
1.216800094,-0.717600048,-0.257400006
